"","group","FDR","nGenes","Pathway size","Fold enriched","Pathway","URL","Genes"
"11","Downregulated","1.46e-02",13,164,3.63047619047619,"Iron ion binding "," http://amigo.geneontology.org/amigo/term/GO:0005506","TETUR01G14580, TETUR03G05030, TETUR03G05540, TETUR05G02970, TETUR05G06620, TETUR06G02420, TETUR06G02820, TETUR11G05520, TETUR19G02300, TETUR20G00290, TETUR20G01790, TETUR27G01020, TETUR44G00140"
"12","Downregulated","2.12e-02",4,11,13.0324786324786,"Intramolecular transferase activity phosphotransferases "," http://amigo.geneontology.org/amigo/term/GO:0016868","TETUR06G02920, TETUR06G02950, TETUR12G03730, TETUR12G03830"
"13","Downregulated","7.07e-02",3,7,14.6615384615385,"Peptidoglycan muralytic activity "," http://amigo.geneontology.org/amigo/term/GO:0061783","TETUR03G05880, TETUR09G04040, TETUR14G01760"
"14","Downregulated","9.88e-02",116,3696,1.21916735594155,"Catalytic activity "," http://amigo.geneontology.org/amigo/term/GO:0003824","TETUR01G03900, TETUR01G08690, TETUR01G09900, TETUR01G10800, TETUR01G14580, TETUR02G04310, TETUR02G05240, TETUR02G09760, TETUR02G10250, TETUR02G11510, TETUR02G13710, TETUR02G14190, TETUR02G14480, TETUR02G15091, TETUR03G00550, TETUR03G05030, TETUR03G05540, TETUR03G05880, TETUR03G07950, TETUR03G09040, TETUR04G00260, TETUR04G00790, TETUR04G04230, TETUR04G05770, TETUR04G06430, TETUR04G07030, TETUR04G07250, TETUR04G07260, TETUR04G07630, TETUR04G08870, TETUR04G09509, TETUR05G01280, TETUR05G02970, TETUR05G03550, TETUR05G04690, TETUR05G05270, TETUR05G06620, TETUR05G07210, TETUR05G07260, TETUR05G08340, TETUR06G01700, TETUR06G02360, TETUR06G02420, TETUR06G02440, TETUR06G02820, TETUR06G02920, TETUR06G02930, TETUR06G02950, TETUR06G03520, TETUR06G05110, TETUR07G03720, TETUR07G03980, TETUR08G02840, TETUR08G03280, TETUR08G03570, TETUR08G04780, TETUR08G06030, TETUR08G06300, TETUR08G07330, TETUR09G00570, TETUR09G00600, TETUR09G04040, TETUR10G01440, TETUR11G01180, TETUR11G04600, TETUR11G05520, TETUR12G00610, TETUR12G03730, TETUR12G03830, TETUR12G03950, TETUR13G00250, TETUR13G01240, TETUR14G01760, TETUR14G03480, TETUR14G03750, TETUR15G00340, TETUR15G03250, TETUR17G00080, TETUR17G00300, TETUR17G00410, TETUR18G01440, TETUR18G02750, TETUR18G03080, TETUR19G00200, TETUR19G00880, TETUR19G02300, TETUR19G02460, TETUR20G00290, TETUR20G00730, TETUR20G01790, TETUR210G00010, TETUR210G00020, TETUR21G00130, TETUR21G00400, TETUR21G01600, TETUR22G00270, TETUR22G00420, TETUR22G00480, TETUR23G00050, TETUR24G00530, TETUR26G00920, TETUR27G01020, TETUR28G00660, TETUR28G00770, TETUR28G02590, TETUR29G00820, TETUR29G01280, TETUR32G00060, TETUR32G01710, TETUR32G01830, TETUR32G01960, TETUR32G02180, TETUR34G00290, TETUR35G01380, TETUR44G00140, TETUR578G00010"
"15","Downregulated","9.88e-02",10,147,2.93230769230769,"Heme binding "," http://amigo.geneontology.org/amigo/term/GO:0020037","TETUR03G05030, TETUR03G05540, TETUR05G02970, TETUR05G06620, TETUR06G02420, TETUR06G02820, TETUR11G05520, TETUR20G00290, TETUR27G01020, TETUR36G00250"
"16","Downregulated","9.88e-02",10,147,2.93230769230769,"Tetrapyrrole binding "," http://amigo.geneontology.org/amigo/term/GO:0046906","TETUR03G05030, TETUR03G05540, TETUR05G02970, TETUR05G06620, TETUR06G02420, TETUR06G02820, TETUR11G05520, TETUR20G00290, TETUR27G01020, TETUR36G00250"
"17","Downregulated","9.96e-02",9,140,2.93230769230769,"Monooxygenase activity "," http://amigo.geneontology.org/amigo/term/GO:0004497","TETUR03G05030, TETUR03G05540, TETUR05G02970, TETUR05G06620, TETUR06G02420, TETUR06G02820, TETUR11G05520, TETUR20G00290, TETUR27G01020"
"18","Downregulated","9.96e-02",2,3,19.5487179487179,"Phosphoglucomutase activity "," http://amigo.geneontology.org/amigo/term/GO:0004614","TETUR06G02920, TETUR06G02950"
"19","Downregulated","9.96e-02",2,3,19.5487179487179,"Phosphoglycerate mutase activity "," http://amigo.geneontology.org/amigo/term/GO:0004619","TETUR12G03730, TETUR12G03830"
"20","Downregulated","9.96e-02",4,24,6.17327935222672,"Intramolecular transferase activity "," http://amigo.geneontology.org/amigo/term/GO:0016866","TETUR06G02920, TETUR06G02950, TETUR12G03730, TETUR12G03830"
